Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-10-12,TD,,https://boxd.it/PtdaG,Top Décennie

Position,Name,Year,URL,Description
1,One Battle After Another,2025,https://boxd.it/DUHM,
2,Sing Sing,2023,https://boxd.it/HIBA,
3,Aftersun,2022,https://boxd.it/Arw0,
4,Last Night in Soho,2021,https://boxd.it/lbJC,
5,The Father,2020,https://boxd.it/m8Ie,
6,Sound of Metal,2019,https://boxd.it/i7Q4,
7,Shoplifters,2018,https://boxd.it/ifY6,
8,The Assassination of Jesse James by the Coward Robert Ford,2007,https://boxd.it/24dG,
9,Gladiator,2000,https://boxd.it/2b9m,
10,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
11,The Pianist,2002,https://boxd.it/2aqc,
12,The Lord of the Rings: The Return of the King,2003,https://boxd.it/2b5u,
13,The Chorus,2004,https://boxd.it/22X8,
14,V for Vendetta,2005,https://boxd.it/29Ik,
15,Children of Men,2006,https://boxd.it/1Y2i,
16,There Will Be Blood,2007,https://boxd.it/20Z2,
