Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-07-28,Folie,,https://boxd.it/M0lfa,

Position,Name,Year,URL,Description
1,The Father,2020,https://boxd.it/m8Ie,
2,Fight Club,1999,https://boxd.it/2a9q,
3,Shutter Island,2010,https://boxd.it/1U82,
4,Donnie Darko,2001,https://boxd.it/2b2A,
5,The Machinist,2004,https://boxd.it/248c,
6,A Beautiful Mind,2001,https://boxd.it/2amk,
7,Black Swan,2010,https://boxd.it/Sw0,
8,Enemy,2013,https://boxd.it/5xtO,
9,Mulholland Drive,2001,https://boxd.it/297o,
10,Memento,2000,https://boxd.it/2bcK,
