Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-12-10,SAV,,https://boxd.it/B59H8,"Saga A Voir (ou à finir)

"

Position,Name,Year,URL,Description
1,A Fistful of Dollars,1964,https://boxd.it/2auo,
2,Star Wars,1977,https://boxd.it/72s,
3,The Mummy,1999,https://boxd.it/2a7a,
4,Before Sunrise,1995,https://boxd.it/2bcU,
5,Casino Royale,2006,https://boxd.it/1alk,
6,Transformers,2007,https://boxd.it/280c,
7,The Hunger Games,2012,https://boxd.it/2uds,
8,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,https://boxd.it/2ark,
9,Final Destination,2000,https://boxd.it/1YrC,
10,The Hangover,2009,https://boxd.it/1GjK,
11,How to Train Your Dragon,2010,https://boxd.it/1WRy,
12,The Naked Gun: From the Files of Police Squad!,1988,https://boxd.it/18YE,
13,Police Academy,1984,https://boxd.it/1YWg,
14,The Love Bug,1968,https://boxd.it/1OHg,
15,Now You See Me,2013,https://boxd.it/2Bsu,
