Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-10-27,TAR,,https://boxd.it/pVoHS,Truc A Regarder

Position,Name,Year,URL,Description
1,Vertigo,1958,https://boxd.it/2apI,
2,Barry Lyndon,1975,https://boxd.it/25A2,
3,Nosferatu,2024,https://boxd.it/f5eG,
4,A Complete Unknown,2024,https://boxd.it/oBYa,
5,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,
6,Paths of Glory,1957,https://boxd.it/29b6,
7,Hundreds of Beavers,2022,https://boxd.it/CyUM,
8,Bird,2024,https://boxd.it/GGhm,
9,The Great Gatsby,2013,https://boxd.it/JY,
10,Edward Scissorhands,1990,https://boxd.it/2aZc,
11,Phantom Thread,2017,https://boxd.it/e4uc,
